h 	 pve 	 rho 	 pge 	 pi 	 n_gamma
4.053364e-01	2.302900e-01	4.934515e-01	6.671783e-02	2.251388e-03	3	
2.214887e-01	8.636578e-02	5.886780e-01	0.000000e+00	1.818471e-03	0	
3.297285e-01	1.974790e-01	3.226547e-01	1.767220e-02	7.984040e-04	1	
6.446309e-01	1.710953e-01	9.126884e-01	1.830756e-01	1.064655e-03	2	
9.370982e-02	2.056162e-02	7.712896e-01	3.669952e-02	1.500573e-03	1	
9.977406e-02	9.876869e-02	1.420459e-01	2.062653e-02	3.663391e-03	3	
1.608403e-01	1.114870e-01	3.694295e-01	2.541410e-01	5.136355e-03	8	
2.769993e-01	1.815080e-01	3.191308e-01	6.982595e-04	4.621631e-03	1	
2.048911e-02	9.513093e-03	8.101279e-01	3.011479e-01	3.925424e-03	6	
5.069492e-01	1.712053e-01	8.189456e-01	1.470230e-01	3.532509e-03	4	
2.813080e-01	2.506353e-01	1.324145e-01	3.694876e-02	3.112277e-03	4	
1.798243e-01	1.460496e-01	3.479079e-01	9.152218e-02	5.071179e-03	6	
4.934524e-01	1.904231e-01	7.054047e-01	6.713900e-02	4.317608e-03	3	
7.785170e-01	6.025560e-01	1.652319e-01	1.279056e-02	8.383104e-03	11	
1.777627e-01	1.391554e-01	5.056958e-01	1.823568e-01	4.017367e-03	8	
1.946013e-01	9.746417e-02	3.432364e-01	0.000000e+00	4.402385e-03	0	
8.336874e-01	5.387985e-01	7.345191e-01	5.728079e-02	3.407324e-03	4	
2.671280e-01	3.738253e-02	9.201038e-01	1.313091e-01	2.609154e-03	2	
1.867518e-01	8.723632e-02	5.838383e-01	0.000000e+00	2.061805e-03	0	
3.394487e-01	6.214102e-02	8.065313e-01	5.465700e-08	1.772824e-03	1	
2.229231e-01	1.742670e-01	2.972149e-01	3.872812e-02	3.557594e-03	2	
1.197146e-01	9.841678e-02	3.529121e-01	4.666804e-02	7.394056e-03	12	
